,name,lon,lat,number,location,mean_area,mean_prc
397,东城 - 香河园北里,116.43724499999999,39.952067,32,东城,64.0,108.18491569504106
398,东城 - 香饵胡同,116.412494,39.939283,8,东城,65.66666666666667,110.80870822041554
399,东城 - 骑河楼大街小区,116.40506,39.919681,2,东城,50.0,96.0
400,东城 - 魏家胡同,116.414323,39.931496,3,东城,50.0,92.0
401,东城 - 鸿安国际大厦,116.424471,39.923844,5,东城,247.5,93.1669394435352
402,东城 - 黄寺大街2号院,116.40375700000001,39.958385,4,东城,52.5,106.94444444444446
403,东城 - 鼎盛园,116.40935800000001,39.864638,3,东城,84.0,75.0
404,东城 - 鼓楼东大街小区,116.40285,39.940942,9,东城,30.0,90.83333333333333
405,东城 - 鼓楼辛安里胡同,116.39667,39.938943,1,东城,280.0,464.2857142857143
406,东城 - 龙潭北里,116.43718100000001,39.882061,3,东城,60.0,83.33333333333333
407,东城 - 龙潭北里小区,116.43703000000001,39.88162,5,东城,54.5,96.55153080789405
408,东城 - 龙潭西里,116.42708300000001,39.879753,15,东城,52.57142857142857,89.0730334387276
409,东城 - 龙腾阁,116.437478,39.88292,1,东城,45.0,93.33333333333333
410,丰台 - 10AM新坐标,116.386495,39.853817,51,丰台,50.0,93.33607287632086
411,丰台 - 3G木兰公寓,116.433869,39.847763,1,丰台,45.0,72.22222222222223
412,丰台 - 7克拉,116.385346,39.839408,42,丰台,43.05882352941177,102.03259908978501
413,丰台 - GOGO新世代,116.423069,39.86657,89,丰台,48.30769230769231,103.92595505302448
414,丰台 - cuv国际公寓,116.332613,39.850245,2,丰台,52.0,78.84615384615384
415,丰台 - 七克拉公寓,116.386025,39.83983900000001,9,丰台,34.666666666666664,114.7041934775633
416,丰台 - 七里庄路,116.289749,39.859028,2,丰台,67.5,63.9010989010989
417,丰台 - 万年花城一期,116.321598,39.843846,112,丰台,87.625,72.10438253790664
418,丰台 - 万年花城三期,116.322902,39.840632,21,丰台,100.125,67.62173090898145
419,丰台 - 万年花城二期,116.318657,39.846298,64,丰台,100.58823529411765,71.68215098229969
420,丰台 - 万年花城五期,116.312421,39.84375,13,丰台,93.0,55.91264271008797
421,丰台 - 万年花城四期,116.315288,39.846187,51,丰台,110.6470588235294,78.8158736304839
422,丰台 - 万年花城回迁房,116.324219,39.841752,6,丰台,63.0,86.59982174688058
423,丰台 - 万年花城尚品西区,116.320328,39.843884,2,丰台,85.0,68.23529411764706
424,丰台 - 万恒家园,116.24943999999999,39.865,4,丰台,75.0,53.333333333333336
425,丰台 - 万柳园小区,116.335311,39.850588,8,丰台,71.0,77.17989417989418
426,丰台 - 万泉寺东路9号院,116.342578,39.865001,2,丰台,88.0,56.81818181818182
427,丰台 - 万泉寺北路10号院,116.342603,39.865766,6,丰台,65.75,82.5713399503722
428,丰台 - 万泉寺南里,116.34078999999998,39.859946,7,丰台,66.66666666666667,59.56937799043062
429,丰台 - 万泉寺小区,116.342008,39.866482,1,丰台,140.0,48.57142857142857
430,丰台 - 万润风景,116.339211,39.857175,6,丰台,76.0,61.803697758753934
431,丰台 - 万源东里,116.427647,39.800674,1,丰台,70.0,57.142857142857146
432,丰台 - 万源南里,116.42577299999999,39.797387,2,丰台,87.0,48.890063424947144
433,丰台 - 万科中粮假日风景,116.250003,39.867065000000004,2,丰台,103.0,76.41998341625208
434,丰台 - 万科紫台,116.2656,39.882275,8,丰台,170.0,88.23529411764706
435,丰台 - 万科紫苑,116.24497,39.865747,8,丰台,250.0,47.91666666666667
436,丰台 - 万科红,116.42990800000001,39.846309999999995,3,丰台,48.666666666666664,61.168091168091166
437,丰台 - 万科蓝,116.297706,39.814974,23,丰台,78.85714285714286,86.57453728059689
438,丰台 - 万芳园一区,116.318657,39.846298,14,丰台,83.125,68.5269090102895
439,丰台 - 万芳园二区,116.315288,39.846187,5,丰台,105.5,68.92140017519034
440,丰台 - 三星庄园,116.38386899999999,39.834909,4,丰台,87.5,57.12962962962963
441,丰台 - 三环新城,116.305931,39.851339,146,丰台,92.42222222222222,66.98060200549176
442,丰台 - 三路居99号院,116.333665,39.873641,6,丰台,110.0,65.92592592592594
443,丰台 - 上海建筑,116.387638,39.836214,11,丰台,98.0,63.775510204081634
444,丰台 - 世华水岸,116.41820600000001,39.836043,17,丰台,154.5,67.9989944695827
445,丰台 - 世嘉丽晶,116.398758,39.817964,5,丰台,50.0,64.0
446,丰台 - 世纪星,116.435425,39.857673,2,丰台,51.0,90.46421663442939
447,丰台 - 世纪星家园,116.435425,39.857673,7,丰台,91.66666666666667,71.17901897601145
448,丰台 - 世纪金色嘉园,116.37210900000001,39.869254999999995,12,丰台,89.0,93.79985356475264
