,lon,lat,name,number
194,116.441632,39.888822,东城 - 天利园,29
195,116.422891,39.878331,东城 - 天坛东里,12
196,116.419716,39.876105,东城 - 天坛东里中区,7
197,116.42015,39.873865,东城 - 天坛东里南区,3
199,116.413113,39.888985,东城 - 天坛北里,2
200,116.402637,39.875521,东城 - 天坛西里东区,3
201,116.439556,39.898112,东城 - 天娇园,23
202,116.43737,39.94022,东城 - 宇飞大厦,5
203,116.433315,39.890038,东城 - 培新街乙5号院,26
204,116.413261,39.946787,东城 - 国子监,6
205,116.429415,39.919669,东城 - 大方家胡同,13
207,116.405529,39.864372,东城 - 天天家园,1
208,116.406694,39.961701,东城 - 安外大街3号院,6
209,116.408159,39.966586,东城 - 安外大街6号楼,2
210,116.408918,39.961538,东城 - 安外甘水桥社区,1
211,116.410696,39.958654,东城 - 安外花园,20
212,116.412157,39.950601,东城 - 安外东河沿,10
213,116.405332,39.950842,东城 - 安外西河沿小区,19
214,116.39434,39.952596,东城 - 安德路乙61号院,9
215,116.402358,39.952855,东城 - 安德路47号院,53
216,116.427373,39.948888,东城 - 安定门东大街甲2号,8
217,116.396275,39.956767,东城 - 安德里北街小区,7
218,116.408785,39.938539,东城 - 安定门内四合院,1
219,116.418653,39.948872,东城 - 安定门东大街小区,5
220,116.388308,39.95718,东城 - 安德里北街25号院,1
221,116.409035,39.970671,东城 - 安贞苑50号院,7
223,116.411907,39.862805,东城 - 定安里,3
224,116.427179,39.900051,东城 - 宝润苑,2
225,116.41065,39.946547,东城 - 官书院,1
226,116.415928,39.947272,东城 - 官书院胡同,3
227,116.412157,39.950601,东城 - 安外东河沿小区,17
228,116.441046,39.888704,东城 - 富瑞苑公寓,2
229,116.406627,39.860212,东城 - 富莱茵花园小区,3
230,116.429810,39.913121,东城 - 宝珠子胡同,17
231,116.399639,39.944554,东城 - 宝钞胡同,15
232,116.433343,39.896507,东城 - 富贵园,49
233,116.433297,39.896518,东城 - 富贵园一区,23
234,116.432926,39.893930,东城 - 富贵园三区,54
235,116.431308,39.896328,东城 - 富贵园二区,46
236,116.439872,39.942734,东城 - 察慈小区,9
237,116.434635,39.894554,东城 - 富贵园四区,45
238,116.405093,39.942378,东城 - 小经厂胡同,9
239,116.407505,39.928876,东城 - 小取灯胡同,2
241,116.430281,39.912808,东城 - 小羊宜宾胡同,23
242,116.409601,39.962316,东城 - 小黄庄一区,29
243,116.408492,39.963850,东城 - 小黄庄前街,8
244,116.415275,39.962308,东城 - 小黄庄前街3号内,7
245,116.415107,39.964291,东城 - 小黄庄前街3号院,15
246,116.409898,39.963035,东城 - 小黄庄小区,17
247,116.425472,39.900663,东城 - 崇文门东大街,63
248,116.443445,39.935486,东城 - 工体北里,18
249,116.414372,39.900506,东城 - 崇文门西大街,9
250,116.438166,39.873689,东城 - 左安浦园,6
251,116.438309,39.875438,东城 - 左安溪园,1
252,116.400133,39.951011,东城 - 巷上嘉园,21
253,116.399529,39.936365,东城 - 帽儿胡同,4
254,116.397307,39.936726,东城 - 帽儿胡同45号院,1
255,116.430484,39.892307,东城 - 幸福家园,93
256,116.434668,39.888243,东城 - 幸福北里,7
257,116.449304,39.890999,东城 - 广渠家园,12
258,116.431342,39.893479,东城 - 广渠门内大街,10
259,116.412802,39.935737,东城 - 府学胡同,8
260,116.440645,39.873827,东城 - 左安漪园,1
261,116.437612,39.950573,东城 - 当代moma,24
262,116.43792,39.948074,东城 - 当代万国城,168
263,116.445164,39.896953,东城 - 忠实里南街小区,1
264,116.437612,39.950573,东城 - 当代MOMA,212
265,116.445803,39.897931,东城 - 忠实里小区,1
266,116.447477,39.892076,东城 - 广渠门外南街,1
267,116.414060,39.921946,东城 - 报房胡同,1
268,116.410743,39.936815,东城 - 文丞相胡同,1
269,116.43792,39.948074,东城 - 当代万国城Moma,50
270,116.425877,39.908504,东城 - 建国门内大街,1
271,116.417387,39.898048,东城 - 新世界中心公寓,2
272,116.417569,39.896538,东城 - 新世界太华公寓,53
274,116.416678,39.89474,东城 - 新世界家园,77
275,116.416926,39.895539,东城 - 新世界家园二期,8
276,116.438468,39.932852,东城 - 新中西街,10
277,116.422546,39.938856,东城 - 新太仓二巷,4
278,116.421245,39.939111,东城 - 新太仓胡同,5
279,116.414914,39.898302,东城 - 新怡家园,101
280,116.409396,39.864101,东城 - 新奥洋房,4
281,116.424694,39.896328,东城 - 新景家园东区,286
282,116.422315,39.896113,东城 - 新景家园西区,92
283,116.446793,39.948361,东城 - 新源西里东街,22
284,116.423794,39.892824,东城 - 新裕家园,118
285,116.446793,39.948361,东城 - 新源西里中街,7
