,lon,lat,name,number,location
4424,116.372132,39.887733,西城 - 枫桦豪景,13,西城
4425,116.337024,39.922066,西城 - 海洋局小区,7,西城
4426,116.36178999999998,39.883763,西城 - 泰和嘉苑,8,西城
4427,116.360455,39.922804,西城 - 民康胡同小区,11,西城
4428,116.372293,39.873522,西城 - 清芷园,29,西城
4429,116.341739,39.904313,西城 - 汽北小区,2,西城
4430,116.36563,39.90181,西城 - 温家街小区,4,西城
4431,116.375049,39.89474000000001,西城 - 海格国际,23,西城
4432,116.380953,39.929391,西城 - 爱民里小区,6,西城
4433,116.362381,39.944747,西城 - 熙府桃园,47,西城
4434,116.364594,39.885673,西城 - 牛街18,2,西城
4435,116.365738,39.88743,西城 - 牛街东里,9,西城
4436,116.362671,39.883255,西城 - 牛街西里,1,西城
4437,116.361747,39.887268,西城 - 牛街西里一区,4,西城
4438,116.361633,39.884822,西城 - 牛街西里二区,3,西城
4439,116.362201,39.929214,西城 - 玉廊东园,6,西城
4440,116.36413600000002,39.929705,西城 - 玉廊园,1,西城
4441,116.336785,39.920126,西城 - 物资部大院,32,西城
4442,116.3301,39.894738,西城 - 玺源台,74,西城
4443,116.327616,39.876749,西城 - 瑞莲家园,1,西城
4444,116.339767,39.898184,西城 - 白云时代大厦,9,西城
4445,116.347152,39.900058,西城 - 白云观北里,17,西城
4446,116.341739,39.904313,西城 - 白云观汽北小区,3,西城
4447,116.360594,39.942511,西城 - 玉桃园,39,西城
4448,116.377988,39.914549,西城 - 灵境胡同,27,西城
4449,116.360143,39.886436,西城 - 白广路6号院,6,西城
4450,116.382062,39.882393,西城 - 畅柳园,164,西城
4451,116.370045,39.878995,西城 - 白纸坊东街25号院,6,西城
4452,116.387273,39.942908,西城 - 甘露胡同,2,西城
4453,116.356784,39.87792,西城 - 白纸坊西街,1,西城
4454,116.358433,39.881499,西城 - 白广路西里,1,西城
4455,116.347464,39.886374,西城 - 白菜湾,1,西城
4456,116.338195,39.929398,西城 - 百万庄中里,12,西城
4457,116.334669,39.930776,西城 - 百万庄北里,2,西城
4458,116.3468,39.89927700000001,西城 - 白云观南里,15,西城
4459,116.340271,39.93078,西城 - 百万庄午区,13,西城
4460,116.338472,39.926012,西城 - 百万庄南街10号院,8,西城
4461,116.336613,39.925265,西城 - 百万庄南街小区,6,西城
4462,116.336352,39.928712,西城 - 百万庄卯区,1,西城
4463,116.345667,39.927703,西城 - 百万庄大街10号院,4,西城
4464,116.354709,39.928854,西城 - 百万庄大街1号院,2,西城
4465,116.346215,39.928715,西城 - 百万庄大街21号院,6,西城
4466,116.346215,39.928715,西城 - 百万庄大街甲21号院,10,西城
4467,116.336337,39.931711,西城 - 百万庄子区,2,西城
4468,116.336161,39.929664,西城 - 百万庄寅区,1,西城
4469,116.338195,39.929398,西城 - 百万庄小区,2,西城
4470,116.340021,39.931708,西城 - 百万庄未区,4,西城
4471,116.340187,39.928755,西城 - 百万庄辰区,2,西城
4472,116.387569,39.890771,西城 - 百顺胡同,4,西城
4473,116.3712,39.879272,西城 - 盆儿胡同62号院,28,西城
4474,116.35002,39.91588,西城 - 盈华盛嘉,10,西城
4475,116.396344,39.881495,西城 - 盛景嘉园,7,西城
4476,116.348307,39.904584,西城 - 真武家园,41,西城
4477,116.344386,39.905126,西城 - 真武庙三里,5,西城
4478,116.36529,39.90125,西城 - 石灯胡同,12,西城
4479,116.365687,39.901102,西城 - 石灯胡同6号院,4,西城
4480,116.363227,39.884014,西城 - 祥和家苑,6,西城
4481,116.349957,39.928716,西城 - 百万庄大街13号院,5,西城
4482,116.39238799999998,39.882742,西城 - 禄长街头条,1,西城
4483,116.348935,39.928551,西城 - 百万庄大街17号院,1,西城
4484,116.370519,39.9222,西城 - 砖塔胡同,6,西城
4485,116.389512,39.881679,西城 - 禄长街头条19号院,43,西城
4486,116.39075,39.882519,西城 - 禄长街小区,71,西城
4487,116.347683,39.883466,西城 - 立恒名苑,9,西城
4488,116.327975,39.878881,西城 - 第三区,6,西城
4489,116.327975,39.878881,西城 - 第三区观邸,3,西城
4490,116.37912,39.940162,西城 - 簸箩仓胡同,1,西城
4491,116.37771,39.879915,西城 - 红土店南里,4,西城
4492,116.339719,39.88385200000001,西城 - 红居南街1号院,3,西城
4493,116.337258,39.883768,西城 - 红居斜街,21,西城
4494,116.339371,39.888904,西城 - 红居街10号院,5,西城
4495,116.334108,39.884228,西城 - 红莲中里,19,西城
4496,116.334859,39.886345,西城 - 红莲北里,32,西城
4497,116.333132,39.885685,西城 - 红莲北里17号院,19,西城
4498,116.334901,39.879159,西城 - 红莲南里,37,西城
4499,116.352615,39.904476,西城 - 真武庙,54,西城
4500,116.331578,39.883556,西城 - 红莲晴园,8,西城
4501,116.381081,39.913088,西城 - 罗贤胡同,2,西城
4502,116.36927,39.92285800000001,西城 - 羊肉胡同,36,西城
4503,116.366231,39.922477,西城 - 羊肉胡同120号院,8,西城
4504,116.369062,39.922689,西城 - 羊肉胡同4号楼,6,西城
4505,116.366846,39.893932,西城 - 老墙根129号院,1,西城
4506,116.367436,39.892674,西城 - 老墙根38号院,1,西城
4507,116.346381,39.876404,西城 - 考拉社区,10,西城
4508,116.364733,39.933918,西城 - 育幼胡同,1,西城
4509,116.373703,39.873197,西城 - 育新街,4,西城
4510,116.377919,39.901395,西城 - 英嘉公寓,3,西城
4511,116.321847,39.875831,西城 - 茗筑,15,西城
4512,116.321847,39.875831,西城 - 茗筑大厦,15,西城
4513,116.363824,39.94245,西城 - 草场胡同,6,西城
4514,116.333488,39.894539,西城 - 红山世家,177,西城
4515,116.336616,39.894695,西城 - 荣丰2008,265,西城
4516,116.351899,39.873876,西城 - 荣宁园,3,西城
4517,116.338744,39.896511,西城 - 莲花池东路24号院,2,西城
4518,116.356938,39.937575,西城 - 葱店胡同,4,西城
4519,116.357934,39.93752,西城 - 葱店胡同2号院,7,西城
4520,116.384278,39.885529,西城 - 虎坊路小区,64,西城
4521,116.384404,39.885632,西城 - 虎坊路甲15号院,5,西城
4522,116.331501,39.895167,西城 - 蝶翠华庭,24,西城
4523,116.35148999999998,39.928425,西城 - 融城,7,西城
4524,116.346949,39.902516,西城 - 融泽府,7,西城
4525,116.390451,39.971319,西城 - 裕中东里,13,西城
4526,116.385795,39.97085300000001,西城 - 裕中西里,33,西城
4527,116.390161,39.902253,西城 - 西交民巷27号院,1,西城
4528,116.387414,39.903442,西城 - 西交民巷小区,2,西城
4529,116.354215,39.899463,西城 - 西便门东里,21,西城
4530,116.353265,39.915231,西城 - 西便门住宅区,1,西城
4531,116.351404,39.895358,西城 - 西便门内大街79号院,6,西城
4532,116.329568,39.882543,西城 - 茶贸国际中心,6,西城
4533,116.351346,39.903954,西城 - 西便门外大街西里,20,西城
4534,116.353186,39.893315,西城 - 西便门西里,29,西城
4535,116.377302,39.90139,西城 - 西单上国阙,3,西城
4536,116.370049,39.927869,西城 - 西单四合院,4,西城
4537,116.370433,39.916566,西城 - 西单西斜街,7,西城
4538,116.373489,39.927233,西城 - 西四北大街156号,2,西城
4539,116.333488,39.894539,西城 - 西提红山,2,西城
4540,116.33026,39.883902,西城 - 西环景苑,1,西城
4541,116.35318999999998,39.90058,西城 - 西便门外东大街,10,西城
4542,116.35637,39.934992,西城 - 西直门南大街,8,西城
4543,116.35637,39.934992,西城 - 西直门南大街小区,12,西城
4544,116.359031,39.935468,西城 - 西直门南小街,6,西城
4545,116.344144,39.937349,西城 - 西直门外南路,9,西城
4546,116.347522,39.938544,西城 - 西直门外大街102号楼,8,西城
4547,116.365725,39.940579,西城 - 西直门内大街,7,西城
4548,116.355287,39.945231,西城 - 西直门铁路危改小区,12,西城
4549,116.355018,39.947502,西城 - 西直门北大街43号院,22,西城
4550,116.377556,39.90323400000001,西城 - 西绒线26号,2,西城
4551,116.378201,39.904183,西城 - 西绒线胡同,6,西城
4552,116.341306,39.893669,西城 - 西豪逸景,55,西城
4553,116.341306,39.893669,西城 - 西豪逸景家园,13,西城
4554,116.376756,39.916644,西城 - 西黄城根南街45号院,3,西城
4555,116.351027,39.932825,西城 - 观缘,33,西城
4556,116.370049,39.927869,西城 - 赵登禹路四合院,2,西城
4557,116.341325,39.933113,西城 - 车公庄中里小区,1,西城
4558,116.365869,39.921067,西城 - 西城晶华,203,西城
4559,116.347282,39.934726,西城 - 车公庄北里,58,西城
4560,116.350915,39.932759,西城 - 车公庄大街甲5号楼,3,西城
4561,116.34188799999998,39.879529,西城 - 车站西街,5,西城
4562,116.34027,39.878453,西城 - 车站西街17号院,11,西城
4563,116.348874,39.937999,西城 - 进步巷,2,西城
4564,116.378437,39.915305,西城 - 西黄城根南街一区,30,西城
4565,116.339643,39.886745,西城 - 远见名苑,217,西城
4566,116.336619,39.889407,西城 - 远见国际公寓,13,西城
4567,116.368132,39.873587,西城 - 远雄大观,7,西城
4568,116.377614,39.942294,西城 - 邱家胡同,5,西城
4569,116.375143,39.875856,西城 - 里仁东街,4,西城
4570,116.371226,39.876792,西城 - 里仁街3号院,6,西城
4571,116.37023,39.874107,西城 - 里仁街6号院,3,西城
4572,116.362019,39.913045,西城 - 金宸公寓,56,西城
4573,116.362019,39.913045,西城 - 金宸国际公寓,21,西城
4574,116.37788,39.908529,西城 - 钟声胡同,5,西城
4575,116.347047,39.908798,西城 - 铁二区,39,西城
4576,116.387615,39.893271,西城 - 铁树斜街,2,西城
4577,116.347522,39.937733,西城 - 铁路巷小区,32,西城
4578,116.391882,39.943339,西城 - 铸钟胡同,4,西城
4579,116.372909,39.876207,西城 - 里仁街1号院,5,西城
4580,116.351655,39.893312,西城 - 锦上,1,西城
4581,116.367724,39.89411,西城 - 长椿苑,4,西城
4582,116.362058,39.904817,西城 - 长安兴融中心,8,西城
