,name,area,house_type,floor,price,url,average_price
1250,朝阳 - 力源里小区,78.0,2室1厅,17/24,5200,http://m.fang.com/zf/bj/JHAGT_390639030_12480af41b938e344af0de66b550e7d0_163516259.html,66.0
1251,丰台 - 慧时欣园一期,73.0,1室1厅,13/24,4700,http://m.fang.com/zf/bj/JHAGT_388977846_74c08a64d96971d2c89dee43c8764b9d_164618313.html,64.0
1252,丰台 - 海户西里,50.0,1室1厅,3/6,3200,http://m.fang.com/zf/bj/JHAGT_388909679_b16f3eaeffed0b4ab7c2cd2811133166_165060100.html,64.0
1253,朝阳 - 金隅悦和园,68.0,1室1厅,19/27,3800,http://m.fang.com/zf/bj/JHAGT_387134243_1f48516d22e04f212d0866aea9b10cfa_165911758.html,55.0
1254,大兴 - 南海家园,50.0,1室1厅,3/18,3300,http://m.fang.com/zf/bj/JHAGT_390952293_cdfe022649250f9c5719b652d0b18816_165944518.html,66.0
1255,石景山 - 中海金石公馆,75.0,2室1厅,10/21,5000,http://m.fang.com/zf/bj/JHAGT_390560412_4d269a8258236017f3db165a264a6ae7_165750784.html,66.0
1256,石景山 - 八角中里,58.0,1室1厅,14/20,3500,http://m.fang.com/zf/bj/JHAGT_390309141_583070d7d3c2278d4c5375530d1d2526_163919775.html,60.0
1257,石景山 - 古城现代嘉园,75.0,2室1厅,15/24,4500,http://m.fang.com/zf/bj/JHAGT_390328484_b81c9037ef74239d487b8e91de70179b_133068115.html,60.0
1258,顺义 - 机场南路东里,60.0,2室1厅,3/6,4100,http://m.fang.com/zf/bj/JHAGT_390880737_748b834688d3832d78fb813abf7035bd_165849999.html,68.0
1259,丰台 - 前泥洼,75.0,2室1厅,4/6,4300,http://m.fang.com/zf/bj/JHAGT_390614866_e5672a819c4f6fcaf9b67207d2ee16ee_164408417.html,57.0
1260,大兴 - 兴海家园月苑,65.0,1室1厅,1/6,4000,http://m.fang.com/zf/bj/JHAGT_390889215_74689848ff5cfd1d1909326663b13306_162598225.html,61.0
1261,海淀 - 巨山馨苑,65.0,1室1厅,3/6,4500,http://m.fang.com/zf/bj/JHAGT_390952562_f7e928ec4853143665a62a9f335e51fb_160428573.html,69.0
1262,朝阳 - 金盏嘉园,60.0,1室1厅,6/11,4000,http://m.fang.com/zf/bj/JHAGT_389070211_4f79963d34ff13257e2df8602b54b143_165660108.html,66.0
1263,海淀 - 金隅瑞和园,70.0,1室1厅,1/10,4300,http://m.fang.com/zf/bj/JHAGT_390020540_ca7f9b33991e05aa543f43f4479f52dc_164005097.html,61.0
